Asunto,Reseña,Fecha,Calificación
Beschäftigte immer nett und geduldig!,"Ich habe heute meinen Koffer im Zug vergessen. Der nette Herr von der Zug-Info am Bahnhof Graz hat alles versucht, damit ich den Koffer wiederbekomme (habe ich auch). Vielen Dank! Auch sonst möchte ich 5 Sterne vergeben, weil alle Beschäftigte aus meiner Sicht immer nett und geduldig sind!",2023-12-09,5
Jammern auf hohem Niveau,"Jammern auf hohem Niveau!
Wenn man einige Tage mit der Deutschen Bahn unterwegs war, dann weiß man erst was Unzuverlässigkeit ist!!! Züge sind Stunden verspätet oder kommen gar nicht. Sehen jetzt alles nicht mehr so eng!😀",2023-12-09,5
Hab das falsche Ticket gekauft und hab…,"Hab das falsche Ticket gekauft und hab bei der Schaffnerin eine tolle Begleitung und Lösung erhalten. Dir am 4.12.23 von Feldkirchen in Knt um 8.31 nach Villach gefahren.
Danke ÖBB",2023-12-04,5
Augenauf und dann kritisieren,"Wenn man selbst im Zug arbeiten würden,dann würde es verstehen..wie ungeduldig und un kommunikativ die Fahrgäste sind. Einige schauen nicht richtig auf die Anzeige Tafeln. Missachten die Gefahrzone, wenn der
Zugbegleiterin bereits gepfiffen hat springen einige in den Zug rein natürlich mit Kindern, ignorieren auch die alle Sicherheitshinweise. Dann Stellen eigenen öffentlichen Verkehrsmitteln ganz schlecht und beschwerden sich vom schlechten Service...

Augenauf: Missachtung der Sicherheitshinweis, da gibt dicken Strafe von 200€ etc!!",2023-12-03,5
Der Busfahrer herr osman wemirci der…,Der Busfahrer herr osman wemirci der Bregenzerwald bus nach egg 830 hat mich am 30 November um 20:20 mit genommen und ich habe ihm gesagt das ich nach bezau muss wie ich fahren muss und er hat dann gesehen das der bus nicht nicht nach bezau fährt und hat mir höflicher weiße Angebote weil die Linie ab egg auf hört und er über bezau runter muss das er mich mit nimmt weil sonst hätte ich 1 Stunden warten müssen also wirklich sehr sehr nett von ihm von solchen Leuten braucht man mehr wirklich klasse 😊,2023-11-30,5
Nachtzug der ÖBB besser und zuverlässiger...,"Kürzlich habe ich den Nachtzug der ÖBB von Berlin nach Wien und zurück genommen und muss sagen, dass die österreichische Bahn deutlich besser und zuverlässiger unterwegs war als ich es von der Deutschen Bahn gewohnt bin. Berichte von Mitreisenden scheinen meine Erfahrung zu bestätigen.",2023-11-29,5
10 Punkte,"Eine der gemütlichsten Verkehrsmittel in Wien.. Erstens sehr gemütlich , immer warm und angehnem.Ich fühle mich sehr wohl drinen Unterschied mit U - Bahn und U 6 / 1 zu 2.000000 ..Vielen Dank",2023-11-24,5
"Jessi P. (Innsbruck) - Hilfsbereitschaft, Engagement, Freundlichkeit und Kompetenz","Ich musste heute eine komplizierte Angelegenheit abwickeln und es graute mir schon davor!

Wider Erwarten, wurde alles unglaublich freundlich, geduldig und kompetent gelöst!
Ich habe heute die netteste und hilfsbereiteste Dame im Kundenservice angetroffen, die mir je untergekommen ist!
Soviel Engagement, Freundlichkeit und Kompetenz ist eine absolute Besonderheit und Freude!

Ich gratuliere Ihnen zu solchen Mitarbeiterinnen wie Jessi P. Kundenservice / Innsbruck

Ein herzliches Dankeschön
T.S.",2023-11-09,5
Toilette am Bahnhof Ried im Innkreis…,"Toilette am Bahnhof Ried im Innkreis war heute 6.11.23 mittags, sehr sauber . Man Sollbruchstellen Positives Posten, meine ich!!",2023-11-06,5
Der Service bei der Rückerstattung…,"Der Service bei der Rückerstattung funktioniert.
Einfach professionelle Abwicklung",2023-11-04,5
Freundlich und sehr schick,"Die 2 Damen auf der Railjet 867 Richtung Wien HBF waren sehr freundlich und unterhaltsam, ich habe mich sehr wohl gefühlt und die Fahrt war sehr angenehm, Muss ich ein großes Lob Aussprechen der Zug war nicht so besetzt konnte die Damen noch vor Kufstein antreffen wo ich eigentlich Aussteigen wollte aber leider der Zug nicht angehalten hat weil es nicht der richtige Zug gewesen ist, aber die 2 Damen als ÖBB Personal haben mir meine Fahrt erleichtert und sehr geholfen den Fehler zumindestens bis ich Ausstieg zum vergessen gebracht. Ich stieg nämlich falsch ein und musste 1,5 Stunden Richtung St. Veit fahren wo ich natürlich wieder zurück nach Kufstein fahren müsste.. auf jedenfall großes Lob und herzlichem Dank an die 2 ÖBB Mitarbeiterinnen die den Zug RJ867 begleitet haben am Freitag den 27.10.2023 Abfahrt 12:40 IBK Hauptbahnhof Richtung Wien Flughafen. Es ist weiterzuempfehlen auf jedenfall ❣️☺️☺️",2023-10-29,5
Sehr tolle und freundliche Zugbegleitung im Zug nr.00600231013,"Da wir nicht sehr oft zug fahren, sind wir etwas unbeholfen in den Zug nr.00600231013 eingestiegen. Wir hatten aber eine überaus nette und freundliche zugbegleitung.",2023-10-14,5
Die Dame bei der Reklamationstelle die…,"Die Dame bei der Reklamationstelle die uns am Samstag, (den 23.9.23 am späte Nachmittag)
am Hauptbahnhof Wien geholfen hat, war super nett, freundlich kompetent und hat uns vier Mädels super geholfen. Großes Dankeschön",2023-09-27,5
Wir sind am 05.09.2023 mit der…,Wir sind am 05.09.2023 mit der Himmelstreppe von St.Pölten 9 Personen mit Fahrrad nach Mariazell gefahren.Schon beim einsteigen ist uns der nette Schaffner Hr.Stefan Herz aufgefallen.Überaus freundlich hat er die Räder verladen und uns allen einen Erlebnisreichen Tag gewünscht.So kann man auch in den Tag starten.Danke Hr.Stefan.Die Karlstettener Radlgruppe,2023-09-07,5
Sehr zuvorkommender Schaffner heute im…,Sehr zuvorkommender Schaffner namens Noah W. heute im Zug von Wien nach Wels 😊,2023-08-28,5
Am Ticketschalter im Hauptbahnhof…,"Am Ticketschalter im Hauptbahnhof sitzen sehr gut geschulte, sehr nette und geduldige Mitarbeiter, die auch Probleme lösen können und wollen, die nicht so einfach zu lösen sind. Vielen Dank.",2023-08-16,5
RJ nach Flughafen Wien,"Bin heute 10.Aug. mit dem RJ um 8;47 von Vöcklabruck zum Flughafen Wien. Der Zugbegleiter war sehr nett und kompetent. Gute Laune und rechtzeitige Infos auf der Strecke. Auf die Frage ob er den Job gerne macht, hat er mit herzlicher Überzeugung ja gesagt. Ich reise sehr viel und erlebe selten so gut gelaunte und kompetente Mitarbeiter. Erlebe ich nur noch sehr selten. Vor allem, er war immer präsent. Vielen Dank für die angenehme Fahrt
GLG Deljana Schödl",2023-08-10,5
Danke an die Zugbegleiterin,"sind (6 Personen mit E-Bikes) am Sonntag 23.7. mit dem Zug um 9.30 Uhr Rex 3903, von Wartberg/Krems nach Windischgarsten gefahren. Möchte uns nochmals für die freundliche, hilfsbereite, engagierte (half bei ein- und entladen der Bikes, trotz schöner Uniform) Zugbegleiterin bedanken!",2023-07-24,5
Die ÖBB hat mir die Bregenzer…,"Die ÖBB hat mir die Bregenzer Festspiele gestern gerettet und dafür möchte ich DANKE sagen!
Der Anschlusszug in Feldkirch nach Bregenz hat gegen der üblichen Vorgangsweise gewartet und viele Fahrgäste kamen dadurch rechtzeitig in Bregenz an, um Madame Butterfly zu genießen.
DANKE allen ÖBB-MitarbeiterInnen für Euer Engagement. Ihr seid spitze - nicht nur diesmal, sondern so oft erleb ich euch als Viel-Bahnfahrerin freundlich und hilfsbereit, wofür ich Euch manchesmal sehr bewundere. Ich bin sehr gerne mit der ÖBB am Weg!
Renate aus Innsbruck",2023-07-22,5
Sehr zu frieden und mit dem klimaticket…,"Sehr zu frieden und mit dem klimaticket durch ganz tirol perfekt.
Die Verbindungen sind einwandfrei und sofortiger Ersatz wenn verspätet gegeben. Top",2023-06-15,5
Unkomplizierte und sehr kompetente…,"Unkomplizierte und sehr kompetente Beratung durch einen engagierten und freundlichen Zugbegleiter, Josef Rosenbichler, auf der Fahrt von Payerbach nach Mürz Zuschlag mit dem Zug R91. Vielen Dank!!!!",2023-06-08,5
Ich fahre nun schon den 3,"Ich fahre nun schon den 3. Tag mit dem Zug. Zuerst von Graz nach Innsbruck, am nächsten Tag von Innsbruck nach Bregenz und heute von Bregenz nach Wien . Das Personal ist super freundlich und hilfsbereit. Danke an das tolle ÖBB Team .

Ps. Mir gegenüber saß ein ÖBB Testkunde der sehr unfreundlich war und alles dokumentierte . Ist es so einem Testkunden eigentlich erlaubt sich während der Fahrt einen anzusaufen ? Er hatte lauter kleine Vodkaflaschen mit die er recht oft austrank . Aber über verschütteten Café im Restaurant Fotos machen . Das sind schon die richtigen. 😡",2023-06-02,5
Ich sitze gerade im Intercity von Wien…,"Ich sitze gerade im Intercity von Wien nach Hamburg. Der Zug ist ausreserviert und ich setze mich auf den Boden. Da einige Passagier erst nach Linz zu steigen, hat mir der Zugbegleiter einen dieser Plätze gegeben.
An dieser Stelle herzlichen Dank!
Liebe Grüße, Marion Stadler",2023-05-30,5
Sehr freundlicher Zugbegleiter,"Die Rückfahrt von Venedig S. Lucia nach Rosenheim mit dem EC 82 war sehr angenehm, das war überwiegend dem sehr freundlichen und zuvorkommenden Zugbegleiter Herrn Johannes Amon zu verdanken, der sich wirklich sehr um das Wohl seiner Fahrgäste bemühte und sogar beim Gepäck behilflich war!! So einen höflichen Zugbegleiter hatte ich noch nie bei einer Zugfahrt!!!",2023-05-03,5
5 Sterne,"5 Sterne, da sich im Railjet eine Steckdose unter jedem Sitz befindet und kostenloses WLAN zur Verfügung steht. Zwei große Pluspunkte.",2023-04-30,5
Überraschend gut und komfortabel,"Unsere Reise von Zürich nach Prag (in einem 3-er Schlafabteil) war überraschend angenehm und komfortabel. Die Matratzen genügend gepolstert, sodass wir gut ausgeschlafen am Zielort ankamen. Genügend Trinkwasser, Seifen, Handtücher und sogar Hausschuhe im Abteil. Dazu ein sehr zuvorkommender und hilfsbereiter Schaffner, der sogar deutsch sprach, auf beiden Wegen. Was will man mehr? Wir würden jederzeit wieder mit dem ÖBB Nightjet verreisen.",2023-04-21,5
Ich fahre sehr gerne mit der ÖBB,"Ich möchte bei meiner Bewertung realistisch bleiben und betonen, dass ich monatlich bis zu 7-8 Std im Railjet der ÖBB verbringe. Ich kenne als Vergleich zur ÖBB die DB (Deutsche Bahn) und die SBB (Schweizer Bahn) und bin auch in Zügen in Italien gefahren. Im Vergleich zu allen Bahnen habe ich ganz klar die ÖBB am liebsten in puncto Komfort, Verlässlichkeit, Problemlösung und Funktionalität. Bereits 4 Schienenersatzverkehre wurden in meinem Fall (von Bregenz nach Wien und umgekehrt) immer sehr gut gelöst und sehr gut organisiert, gab noch nie Probleme. Die 2. Klasse ist einwandfrei, immer gepflegt, der Strom funktioniert, die Bildschirme funktionieren meistens, die Mitarbeiter (Schaffner etc) im Zug sind zu 90% sehr freundlich. Die 1. Klasse ebenso, jedoch sehe ich keinen großen Unterschied zur 2. Klasse außer in den Punkten Beinfreiheit und etwas weniger volle Waggons. Ich finde, wenn die 1. Klasse fast das doppelte mehr kostet als die 2. Klasse, sollte auch ein größerer Unterschied bemerkbar sein, z.B. größere Toiletten, mehr private Abtrennungen etc. Bei der Business Class sollte wegen der zusätzlichen Aufpreise auch drauf geachtet werden, dass das Personal in diesem Bereich sehr kompetent und zuvorkommend ist, was es meiner Erfahrung nach nicht immer war.
Ein weiterer Kritikpunkt ist das immer wieder vorkommende Problem vom Speichern der Sitzplatzreservierungen. Hierbei steht im Zug die ganze Fahrt über „ggf. reserviert“ an jedem Platz und niemand sieht, wo freie Sitzplätze sind. Dieses Problem stelle ich die letzten paar Monate (heutiger Zeitpunkt: 17.4.23) häufiger fest als früher.
Natürlich kam es mir in meinen 7 Jahren Zug fahren auch 2 oder 3 Mal vor, dass ein Zug 2 Std Verspätungen hatte wegen größeren Problemen wie Starkwetter oder ähnliches. Jedoch ist das in 7 Jahren eine sehr niedrige Zahl! Dazu kommt, dass die Hälfte des Zugtickets danach erstattet wird, eine sehr gute Regelung. (Auch Klimaticket Besitzer*innen sollten hier eine gewisse Summe erstattet bekommen!) UND in diesen 7 Jahren ist bei mir noch NIE ein Zug spontan ausgefallen und wenn es Verzögerungen bezüglich Umstiegen gab, gab es seitens der ÖBB immer eine hilfreiche und kompetente spontane Lösung.
Kurz noch ein paar Worte zum Komfort im Zug: ich finde die Sitze egal in welcher Klasse alle sehr angenehm und gemütlich, auch die Klimaanlage im Sommer und die Heizung im Winter ist gut geregelt. Die Toiletten kommen mir tatsächlich in der 2. Klasse gepflegter vor als in der 1. oder in der Business Class - aber möglicherweise hatte ich da einfach Glück oder Pech, wie man‘s sieht.

Fazit: Ich schätze die ÖBB sehr und bin sehr stolz auf die Bahn. Natürlich gibt es immer Verbesserungsspielraum, aber dabei habe ich in der Zukunft keine Zweifel. Danke für die Mühen und für die gute Organisation, kann die ÖBB nur weiterempfehlen.",2023-04-17,5
Super Öffis,"Super Öffis, ich bin mit der ÖBB sehr zufrieden. Die Vorteilskarte zählt sich auch absolut aus. Kaum Verspätung, sehr Zuverlässig!",2023-04-13,5
Wien Hauptbahnhof Fr,"Wien Hauptbahnhof Fr. SIMONA M.
Die freundlichste beste Beraterin ever
Konnte mein Zugticket nicht ausdrucken, Fr. Simona brauchte schätz ich mind. 10 Minuten, sie versuchte alles um mir meine gebuchte Fahrt zu ermöglichen. Sie gab nicht auf. Ich wollte schon ein neues Ticket bezahlen. Sie sagte nein das gibt es nicht. Zum Schluss nahm sie mein Handy, sie kam auf den Fehler und schon war alles Bestens. Danke lb. FR. Simona",2023-04-12,5
Super nett bei dem Infopunkt und…,Super nett bei dem Infopunkt und Kundenservice!,2023-04-04,5
Super lieb,"Super lieb, war um 1 Min verspätet und Bahnfahrer hat extra noch einmal die Türe geöffnet als er/sie mich hat laufen sehen! Danke dafür!!!!",2023-03-22,5
Äußerst freundliche Busfahrerin!!!,"Am 18.03. bin ich seit langen mal wieder mit dem Bus von St. Pölten nach Perschenegg gefahren
Ich möchte mich gerne bei der äußerst netten Busfahrerin bedanken
Sie ist voll freundlich gewesen obwohl ich schlecht gelaunt war
Das ist nicht selbstverständlich
Herzlichen Dank!!!

Mit freundlichen Grüßen
Willi",2023-03-22,5
"Freundliche Zugbegleitung Daniela, sehr kompetent, überaus zuvorkommend und professionell, sei es die Ansage, Aufzahlung auf die 1. Klasse etc. Sehr angenehme Stimme und liebevolle Wesensart!","Die überaus nette, freundliche und kompetente Beratung von der Zugbegleiterin Daniela!
Und auch dafür, dass in Feldkirch der Don's Mitarbeiter Michael zustieg und somit das Bordrestaurandt wieder die OEBB Kunden mit Speisen und Getränken versorgt wurden auf ihrer langen Reise bis Graz.
So geniale und einsatzbereiten Mitarbeitern gehört ein Lob und Anerkennung ausgesprochen! Vielen herzlichen tiefen Dank allen!
Friederike Hartberger",2023-03-18,5
Sauberkeit Pünktlichkeit sicherheit,Sauberkeit Pünktlichkeit sicherheit.....kufstein.leider ist die ankunftshalle dort immer verschmutzt..die Toiletten ebenfalls...es gibt dort so gut wie nie papiertücher zum abwischen der Hände.. trotz reklamieren bei der öbb und beim schalter geschah nichts,2023-04-02,5
Kundenservicecenter im Wiener Hbf,"Kundenservice im Wiener Hbf. sehr hilfsbereit und Kundenorientiert!

Anfrage wurde schnell und zu meiner Zufriedenheit gelöst, tolle Mitarbeiterin am Schalter!
Danke",2023-03-13,5
Reliable and good value,"I've used Austrian trains on holiday over last decade and have found them to be reliable, comfortable, punctual and occasionally very busy at peak times. The trains have very good digital displays and they have announcements in English for tourists.

Perhaps to state the obvious it is worth getting a reservation on long journeys or at peak times. Like any train this can still be problematic if you have loads of huge luggage as it may be tricky on a packed train to store your luggage near your seat.

For long journeys there are discount tickets available in advance, maybe at least 2-3 weeks? I think my Vienna to Worgl (just under 4 hours) last year was only about 40 euros.

The transport system seems fully integrated and the tickets can be end to end. That includes buses at no extra cost so there's no need to buy separate bus tickets for a journey.

I have found once I could not buy a ticket from a machine in Munich (Germany) station to Austria because there were no seats left. The ticket counter did sell me a ticket and said I might have to stand. In the end the train wasn't super busy. Puzzling. I thought I'd share this tip.",2023-02-18,5
We had a great experience with them on…,We had a great experience with them on a train going directly from Vienna to Schladming (for skiing). You could see that the conductor did his job with absolute pleasure: he explained in detail which part of Austria we were passing and had interesting stories and facts to share (in German and English). Would recommend to anyone to take this route (only goes 2x/week on Friday and back on Sunday),2023-02-10,5
